studio,domestic_gross,foreign_gross,total_gross
Vari.,50400.0,26500000.0,26550400.0
W/Dim.,17700000.0,7900000.0,25600000.0
RAtt.,5100000.0,20000000.0,25100000.0
Uni.,21600000.0,3300000.0,24900000.0
Wein.,24800000.0,0.0,24800000.0
FD,13100000.0,10800000.0,23900000.0
Strand,720000.0,22500000.0,23220000.0
MBox,1600000.0,21600000.0,23200000.0
LGF,13700000.0,9400000.0,23100000.0
Par.,16300000.0,6600000.0,22900000.0
Wein.,7700000.0,13400000.0,21100000.0
NM,2700000.0,17600000.0,20300000.0
SPC,7100000.0,12800000.0,19900000.0
SPC,5400000.0,14200000.0,19600000.0
RAtt.,5400000.0,14200000.0,19600000.0
Fox,11900000.0,6800000.0,18700000.0
FoxS,3900000.0,13800000.0,17700000.0
Magn.,803000.0,16800000.0,17603000.0
Wein.,10100000.0,6800000.0,16900000.0
MBox,10400.0,16900000.0,16910400.0
RAtt.,164000.0,16600000.0,16764000.0
UTV,1500000.0,15200000.0,16700000.0
Magn.,3000000.0,12900000.0,15900000.0
Rela.,15000000.0,678000.0,15678000.0
RAtt.,11500000.0,3900000.0,15400000.0
Sony,4500000.0,10900000.0,15400000.0
Vari.,206000.0,14900000.0,15106000.0
IFC,158000.0,14600000.0,14758000.0
NGE,44300.0,14600000.0,14644300.0
IFC,3500000.0,11100000.0,14600000.0
Focus,5800000.0,8500000.0,14300000.0
Cohen,667000.0,13600000.0,14267000.0
Magn.,129000.0,12600000.0,12729000.0
NeoC,708000.0,12000000.0,12708000.0
MBox,233000.0,12000000.0,12233000.0
CL,69000.0,11800000.0,11869000.0
CL,124000.0,11700000.0,11824000.0
FoxS,1300000.0,10000000.0,11300000.0
FoxS,10200000.0,652000.0,10852000.0
NGE,5700000.0,5100000.0,10800000.0
Kino,123000.0,10600000.0,10723000.0
Jan.,612000.0,9900000.0,10512000.0
SGem,10300000.0,0.0,10300000.0
BV,10100000.0,0.0,10100000.0
SPC,1000000.0,8600000.0,9600000.0
MNE,24100.0,9600000.0,9624100.0
LGF,1400000.0,7900000.0,9300000.0
Magn.,708000.0,8500000.0,9208000.0
SPC,543000.0,8700000.0,9243000.0
SPC,4400000.0,4000000.0,8400000.0
Magn.,44700.0,8400000.0,8444700.0
PDA,1600000.0,6600000.0,8200000.0
Trib.,99000.0,7600000.0,7699000.0
Fox,7200000.0,244000.0,7444000.0
Sum.,971000.0,6300000.0,7271000.0
Rela.,6900000.0,0.0,6900000.0
FoxS,6900000.0,0.0,6900000.0
IFC,352000.0,6400000.0,6752000.0
IFC,5300000.0,1200000.0,6500000.0
CL,153000.0,6200000.0,6353000.0
Osci.,1700000.0,4300000.0,6000000.0
SGem,1000000.0,4800000.0,5800000.0
Vita.,518000.0,5300000.0,5818000.0
MBox,162000.0,5600000.0,5762000.0
Rocket,32800.0,5700000.0,5732800.0
IFC,1400000.0,4099999.0,5499999.0
UTV,464000.0,5000000.0,5464000.0
Wein.,4400000.0,441000.0,4841000.0
FoxS,,4800000.0,
Magn.,224000.0,4500000.0,4724000.0
IFC,16100.0,4600000.0,4616100.0
OMNI/FSR,1200000.0,3400000.0,4600000.0
MBox,514000.0,4099999.0,4613999.0
PDA,4400000.0,0.0,4400000.0
IFC,4800.0,4300000.0,4304800.0
FM,7600.0,4200000.0,4207600.0
MBox,501000.0,3700000.0,4201000.0
Magn.,253000.0,3900000.0,4153000.0
IFC,4000000.0,0.0,4000000.0
Strand,85500.0,3900000.0,3985500.0
ParV,3400000.0,336000.0,3736000.0
Imag.,138000.0,3600000.0,3738000.0
Relbig.,3700000.0,0.0,3700000.0
IFC,540000.0,3100000.0,3640000.0
SPC,2100000.0,1500000.0,3600000.0
FoxS,3000000.0,548000.0,3548000.0
,70600.0,3300000.0,3370600.0
Wein.,3300000.0,0.0,3300000.0
Rela.,539000.0,2800000.0,3339000.0
Magn.,40500.0,3200000.0,3240500.0
LGF,3000000.0,123000.0,3123000.0
IFC,5000.0,3100000.0,3105000.0
Eros,3100000.0,0.0,3100000.0
SPC,1700000.0,1400000.0,3100000.0
KKM,555000.0,2500000.0,3055000.0
Lorb.,45800.0,2900000.0,2945800.0
LGF,161000.0,2700000.0,2861000.0
Gold.,1500000.0,1200000.0,2700000.0
RAtt.,2700000.0,0.0,2700000.0
Strand,60000.0,2600000.0,2660000.0
Cohen,143000.0,2400000.0,2543000.0
Magn.,14900.0,2300000.0,2314900.0
Kino,356000.0,1900000.0,2256000.0
Zeit.,71200.0,2100000.0,2171200.0
CL,47900.0,2000000.0,2047900.0
IFC,2000000.0,0.0,2000000.0
Lorb.,14600.0,2000000.0,2014600.0
Relbig.,1800000.0,0.0,1800000.0
IFC,230000.0,1600000.0,1830000.0
Strand,37700.0,1800000.0,1837700.0
Argo.,29300.0,1800000.0,1829300.0
FoxS,1300000.0,456000.0,1756000.0
Sum.,1800000.0,0.0,1800000.0
IFC,1700.0,1700000.0,1701700.0
Eros,993000.0,600000.0,1593000.0
Zeit.,1500000.0,0.0,1500000.0
FoxS,1400000.0,0.0,1400000.0
LGF,1400000.0,0.0,1400000.0
Strand,184000.0,946000.0,1130000.0
Gold.,1100000.0,0.0,1100000.0
SMod,1100000.0,0.0,1100000.0
Libre,7200.0,1100000.0,1107200.0
Eros,1100000.0,0.0,1100000.0
Olive,19600.0,1100000.0,1119600.0
Gold.,1100000.0,0.0,1100000.0
Magn.,22700.0,1000000.0,1022700.0
Magn.,1100000.0,0.0,1100000.0
IFC,32900.0,1000000.0,1032900.0
Eros,987000.0,0.0,987000.0
Osci.,978000.0,0.0,978000.0
Anch.,45500.0,912000.0,957500.0
Eros,955000.0,0.0,955000.0
Wein.,373000.0,527000.0,900000.0
Wein.,468000.0,397000.0,865000.0
SPC,842000.0,0.0,842000.0
MBox,708000.0,132000.0,840000.0
FRun,3200.0,836000.0,839200.0
UTV,6300.0,826000.0,832300.0
Eros,728000.0,0.0,728000.0
NGE,332000.0,382000.0,714000.0
Magn.,703000.0,0.0,703000.0
IFC,697000.0,0.0,697000.0
UTV,577000.0,102000.0,679000.0
Relbig.,651000.0,0.0,651000.0
SPC,638000.0,0.0,638000.0
UTV,441000.0,193000.0,634000.0
Lorb.,8200.0,619000.0,627200.0
Magn.,201000.0,423000.0,624000.0
FM,8700.0,614000.0,622700.0
IFC,9200.0,602000.0,611200.0
IFC,68700.0,520000.0,588700.0
RAtt.,569000.0,0.0,569000.0
FoxS,564000.0,0.0,564000.0
Relbig.,544000.0,0.0,544000.0
IFC,119000.0,421000.0,540000.0
Yash,496000.0,0.0,496000.0
IFC,485000.0,0.0,485000.0
FM,3000.0,469000.0,472000.0
RAtt.,454000.0,0.0,454000.0
IFC,25400.0,427000.0,452400.0
RAtt.,411000.0,0.0,411000.0
Strand,5600.0,403000.0,408600.0
FM,64000.0,329000.0,393000.0
WHE,383000.0,0.0,383000.0
UTV,270000.0,94700.0,364700.0
P4,8500.0,347000.0,355500.0
Relbig.,351000.0,0.0,351000.0
KC,312000.0,30300.0,342300.0
IFC,328000.0,0.0,328000.0
IFC,312000.0,0.0,312000.0
SD,304000.0,0.0,304000.0
FD,304000.0,0.0,304000.0
FRun,8900.0,286000.0,294900.0
FM,700.0,289000.0,289700.0
CGld,282000.0,0.0,282000.0
Eros,274000.0,0.0,274000.0
IFC,274000.0,0.0,274000.0
Magn.,22600.0,243000.0,265600.0
Lorb.,153000.0,103000.0,256000.0
NGE,253000.0,0.0,253000.0
Lorb.,4200.0,248000.0,252200.0
FRun,1400.0,236000.0,237400.0
AM,237000.0,0.0,237000.0
FM,12100.0,220000.0,232100.0
IFC,224000.0,0.0,224000.0
